X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
213,20,3-4 days,5,Female,55-64,93108,NA,NA,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,0,$50-$99,$200-$499,$200-$499,Live in Boulder,"Friends, family or no expense",500
41,5-6 times,1-2 days,2,Female,45-54,96161,No,A few hours,0,0,0,0,0,$1 - $20,"$2,000-$4,999",$20-$49,$100-$199,$200-$499,I live here,Hotel or motel,240
148,20,3-4 days,3,Female,35-44,80306,Yes,2 days,$21-$49,0,$1 - $20,0,$1 - $20,$100-$199,NA,$50-$99,$100-$199,$1 - $20,Three nights,Hotel or motel,500
105,20,3-4 days,2,Male,65-74,80309,NA,1 day,$100-$199,"$2,000-$3,000",$50-$99,$1 - $20,$21-$49,"$3,000-$4,000",$20-$49,0,0,$20-$49,Resident,"Friends, family or no expense",200
80,1-2 times,3-4 days,2,Male,65-74,80309,Yes,Zero,$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$500-$999,$200-$499,$200-$499,$1 - $20,$50-$99,Local resident,Hotel or motel,500
43,5-6 times,1-2 days,1,Female,25-34,93108,No,Zero,0,0,0,0,0,0,$200-$499,NA,$200-$499,$20-$49,I live here,Boulder Resident,NA
36,3-4 times,0,0,Female,45-54,80303,NA,I live here,0,0,0,0,0,0,"$1,000-$1,999",$200-$499,$100-$199,$20-$49,One night,"Friends, family or no expense",240
120,7,5-6 days,2,Male,45-54,80304,NA,Didn't extend stay,$100-$199,0,$21-$49,0,$21-$49,0,0,$200-$499,NA,$200-$499,Live in Boulder,Boulder Resident,175
119,25,5-6 days,4,Female,45-54,93035,No,NA,$100-$199,0,$100-$199,$50-$99,0,$21-$49,"$1,000-$1,999",$100-$199,$500-$999,$20-$49,One night,"Friends, family or no expense",125
41,5-6 times,1-2 days,2,Female,45-54,96161,No,A few hours,0,0,0,0,0,$1 - $20,"$2,000-$4,999",$20-$49,$100-$199,$200-$499,I live here,Hotel or motel,240
33,1-2 times,0,3,Female,65-74,80309,Yes,-,0,0,0,0,0,"$3,000-$4,000",$100-$199,$200-$499,NA,$1 - $20,Multiple day trips,"Friends, family or no expense",NA
51,5-6 times,0,2.5,Female,55-64,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$21-$49,$200-$499,$21-$49,"$1,000-$1,499","$3,000-$4,000",$50-$99,$100-$199,$500-$999,$200-$499,I live here,Boulder Resident,0
119,25,5-6 days,4,Female,45-54,93035,No,NA,$100-$199,0,$100-$199,$50-$99,0,$21-$49,"$1,000-$1,999",$100-$199,$500-$999,$20-$49,One night,"Friends, family or no expense",125
152,20,1-2 days,2.5,Female,25-34,80304,No,2 days,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,"$2,000-$4,999",0,$20-$49,$200-$499,Live in Boulder,"Friends, family or no expense",280
67,20,3-4 days,2,Male,55-64,80306,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,$21-$49,0,0,0,$20-$49,NA,$100-$199,$1 - $20,Four nights,"Friends, family or no expense",175
106,20,1-2 days,6,Female,55-64,80304,No,Zero,$100-$199,0,0,$21-$49,$1 - $20,NA,"$1,000-$1,999",$20-$49,0,$200-$499,Multiple day trips,NA,200
275,20,1-2 days,3,Female,65-74,80304,No,Live in area,"$1,000.00",$21-$49,$1 - $20,NA,$500-$999,NA,$50-$99,$500-$999,$20-$49,$20-$49,I live here,"Friends, family or no expense",NA
132,20,7-8 days,9,Female,55-64,80309,Yes,2 days,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$50-$99,$100-$199,$20-$49,$500-$999,Three nights,Home,0
260,20,3-4 days,20,Male,35-44,93111,No,1 day,$200-$499,NA,NA,0,$200-$499,$21-$49,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
3,1,0,0,Female,65-74,80303,No,Zero,0,0,0,0,0,0,$100-$199,NA,0,$20-$49,Multiple day trips,"Friends, family or no expense",0
109,20,5-6 days,8,Female,35-44,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,0,$50-$99,$21-$49,0,NA,NA,0,$50-$99,$200-$499,Day trip,Hotel or motel,0
262,20,5-6 days,5,Male,35-44,80305,NA,I live here,$200-$499,$50-$99,NA,"$2,000-$3,000",0,$1 - $20,$50-$99,$50-$99,$50-$99,$20-$49,I live here,Home,N/A
285,3-4 times,1-2 days,3,Female,85,80309,No,1 day,$500-$999,$21-$49,0,$50-$99,"$1,000-$1,499",$500-$999,$20-$49,$500-$999,$1 - $20,0,I live here,Hotel or motel,125
138,1,3-4 days,4,Female,45-54,80303,No,NA,$21-$49,$1 - $20,0,0,0,$1 - $20,"$2,000-$4,999",0,$100-$199,$500-$999,Multiple day trips,"Friends, family or no expense",240
157,20,1-2 days,3,Female,55-64,80306,No,Live in area,$21-$49,$100-$199,$200-$499,$1 - $20,$50-$99,$500-$999,NA,$50-$99,$1 - $20,NA,Live in Boulder,Hotel or motel,NA
203,20,1-2 days,1,Female,55-64,80303,Yes,Home is here,$50-$99,0,0,0,0,0,$100-$199,NA,$1 - $20,$200-$499,Day trip,NA,NA
190,5-6 times,3-4 days,3,Female,25-34,80303,No,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$1 - $20,$20-$49,$200-$499,Live in Boulder,Home,175
201,20,5-6 days,6,Female,25-34,80305,No,Live in area,$50-$99,$50-$99,$1 - $20,$21-$49,$500-$999,$500-$999,$1 - $20,$1 - $20,$20-$49,$1 - $20,Live in Boulder,Hotel or motel,500
143,12,2,2,Male,55-64,80303,NA,2 days,$21-$49,0,0,$1 - $20,0,"$5,000.00",0,$200-$499,$1 - $20,$500-$999,Day trip,Boulder Resident,175
49,5-6 times,0,10,Female,55-64,80306,NA,Live in area,0,0,0,0,0,0,$100-$199,NA,$1 - $20,$1 - $20,I live here,NA,NA
70,20,5-6 days,3,Female,18-24,80309,No,Zero,$1 - $20,0,$1 - $20,$1 - $20,0,0,$20-$49,$200-$499,$200-$499,$20-$49,Local resident,Boulder Resident,240
167,25,3-4 days,3,Female,65-74,80303,No,Live in area,$21-$49,0,0,0,0,$21-$49,$20-$49,0,0,$50-$99,One night,"Friends, family or no expense",NA
54,4,10,5,Female,45-54,80309,Yes,I live here,"$1,000.00",$100-$199,$500-$999,$50-$99,"$1,000-$1,499","$5,000.00",$1 - $20,$20-$49,$1 - $20,$50-$99,I live here,Hotel or motel,500
149,20,1-2 days,2,Female,35-44,80303,Yes,NA,$21-$49,0,$21-$49,0,0,0,$1 - $20,$1 - $20,NA,$1 - $20,I live here,Boulder Resident,500
150,20,1-2 days,3,Female,65-74,80302,No,Home is here,$21-$49,0,0,$1 - $20,0,$21-$49,0,NA,$50-$99,0,Four nights,NA,200
62,20,1-2 days,3,Female,65-74,80304,Yes,Zero,$1 - $20,$50-$99,0,0,0,$21-$49,$100-$199,$500-$999,$100-$199,$20-$49,I live here,Hotel or motel,500
93,5-6 times,1-2 days,4,Female,25-34,80306,NA,Zero,$1 - $20,0,0,0,0,0,$100-$199,$200-$499,$500-$999,$200-$499,NA,Hotel or motel,NA
137,NA,4,8,Female,55-64,80305,No,Didn't extend stay,$200-$499,$200-$499,$100-$199,$100-$199,$200-$499,0,0,$500-$999,$50-$99,0,I live here,Home,0
60,20,1-2 days,2,Male,55-64,80309,No,Zero,$1 - $20,0,0,0,0,$50-$99,$1 - $20,$20-$49,$200-$499,$500-$999,One night,Home,0
175,1-2 times,7-8 days,3,Male,35-44,93437,NA,0,$21-$49,0,$50-$99,$21-$49,0,0,0,$1 - $20,$500-$999,NA,NA,"Friends, family or no expense",500
42,5-6 times,0,0.5,Male,25-34,80309,No,Home is here,0,0,0,0,0,0,$20-$49,$20-$49,$100-$199,$1 - $20,Multiple day trips,Boulder Resident,200
1,0,0,8,Male,55-64,80309,NA,I live here,0,0,0,0,0,0,0,$1 - $20,$200-$499,$500-$999,One night,Home,NA
218,20,5-6 days,5,Female,25-34,80303,Yes,2 days,$50-$99,$50-$99,$21-$49,$21-$49,0,$21-$49,"$2,000-$4,999",$50-$99,$200-$499,$20-$49,Local resident,Boulder Resident,0
276,20,1-2 days,6,Male,55-64,80305,Yes,2 days,"$1,000.00",NA,$50-$99,0,"$1,000-$1,499",$500-$999,$100-$199,$20-$49,$50-$99,NA,Day trip,NA,500
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
222,45,12,3,Female,65-74,80309,No,-,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,0,$1 - $20,$20-$49,0,Three nights,NA,NA
193,5-6 times,5-6 days,1,Male,55-64,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$1 - $20,$1 - $20,$21-$49,$1 - $20,$50-$99,$50-$99,0,$1 - $20,$500-$999,Resident,NA,280
103,20,1-2 days,5,Female,35-44,80303,NA,NA,$100-$199,0,$21-$49,$1 - $20,$200-$499,"$5,000.00","$2,000-$4,999",$100-$199,$200-$499,$50-$99,Four nights,NA,175
174,1-2 times,3-4 days,5,Female,25-34,80309,Yes,2 days,$21-$49,0,$21-$49,$21-$49,0,0,"$2,000-$4,999",0,$1 - $20,$50-$99,NA,"Friends, family or no expense",N/A
1,0,0,8,Male,55-64,80309,NA,I live here,0,0,0,0,0,0,0,$1 - $20,$200-$499,$500-$999,One night,Home,NA
218,20,5-6 days,5,Female,25-34,80303,Yes,2 days,$50-$99,$50-$99,$21-$49,$21-$49,0,$21-$49,"$2,000-$4,999",$50-$99,$200-$499,$20-$49,Local resident,Boulder Resident,0
82,1-2 times,3-4 days,10,Female,55-64,80306,No,1 day,$1 - $20,$21-$49,$1 - $20,$21-$49,$500-$999,"$5,000.00",$20-$49,$100-$199,0,$20-$49,Multiple day trips,Home,3
124,20,7-8 days,3,Female,35-44,80309,No,Zero,$200-$499,0,$21-$49,$21-$49,0,$1 - $20,"$1,000-$1,999",$500-$999,0,$1 - $20,One night,Boulder Resident,200
177,3-4 times,0,2,Female,35-44,80303,Yes,I live here,$21-$49,0,0,0,0,0,$50-$99,$20-$49,$20-$49,$50-$99,Local,"Friends, family or no expense",NA
60,20,1-2 days,2,Male,55-64,80309,No,Zero,$1 - $20,0,0,0,0,$50-$99,$1 - $20,$20-$49,$200-$499,$500-$999,One night,Home,0
61,20,0,2,Female,75-84,80309,No,Live in area,$1 - $20,0,0,0,$21-$49,$100-$199,NA,$20-$49,NA,$20-$49,Local,Hotel or motel,NA
275,20,1-2 days,3,Female,65-74,80304,No,Live in area,"$1,000.00",$21-$49,$1 - $20,NA,$500-$999,NA,$50-$99,$500-$999,$20-$49,$20-$49,I live here,"Friends, family or no expense",NA
225,3-4 times,1-2 days,4,Male,25-34,80303,NA,I live here,$50-$99,0,0,0,0,$1 - $20,"$1,000-$1,999",$200-$499,0,$50-$99,Four nights,Boulder Resident,280
75,20,1-2 days,1,Female,65-74,80306,NA,I live here,$1 - $20,NA,NA,NA,$200-$499,"$3,000-$4,000",$200-$499,$20-$49,NA,$1 - $20,NA,Boulder Resident,175
51,5-6 times,0,2.5,Female,55-64,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$21-$49,$200-$499,$21-$49,"$1,000-$1,499","$3,000-$4,000",$50-$99,$100-$199,$500-$999,$200-$499,I live here,Boulder Resident,0
23,20,3-4 days,3,Male,25-34,80309,Yes,0,0,"$1,000-$1,499","$1,000.00",$50-$99,$1 - $20,0,$200-$499,NA,$50-$99,$50-$99,NA,NA,240
281,1-2 times,3-4 days,4,Male,18-24,93107,Yes,-,$200-$499,$100-$199,"$1,000-$1,499",$1 - $20,$100-$199,$21-$49,$1 - $20,0,0,0,Resident,Home,0
237,5-6 times,3-4 days,2.5,Female,25-34,80302,No,1 day,$50-$99,0,0,$21-$49,$1 - $20,0,$20-$49,$500-$999,$200-$499,NA,Resident,Hotel or motel,280
125,20,7-8 days,3,Female,35-44,80309,No,NA,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$20-$49,NA,$500-$999,$50-$99,One night,"Friends, family or no expense",NA
74,20,1-2 days,8,Female,35-44,80302,No,Zero,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,$500-$999,"$2,000-$4,999",0,$500-$999,$200-$499,Two nights,Hotel or motel,240
176,1-2 times,1-2 days,2,Male,35-44,80304,No,I live here,$21-$49,$21-$49,$21-$49,"$2,000-$3,000",$200-$499,$500-$999,"$1,000-$1,999",$200-$499,$50-$99,$20-$49,Live in Boulder,NA,200
42,5-6 times,0,0.5,Male,25-34,80309,No,Home is here,0,0,0,0,0,0,$20-$49,$20-$49,$100-$199,$1 - $20,Multiple day trips,Boulder Resident,200
103,20,1-2 days,5,Female,35-44,80303,NA,NA,$100-$199,0,$21-$49,$1 - $20,$200-$499,"$5,000.00","$2,000-$4,999",$100-$199,$200-$499,$50-$99,Four nights,NA,175
174,1-2 times,3-4 days,5,Female,25-34,80309,Yes,2 days,$21-$49,0,$21-$49,$21-$49,0,0,"$2,000-$4,999",0,$1 - $20,$50-$99,NA,"Friends, family or no expense",N/A
56,20,1-2 days,2,Female,55-64,93111,No,Live in area,$1 - $20,0,0,0,0,$50-$99,$100-$199,NA,0,$50-$99,Local,Boulder Resident,125
122,20,5-6 days,3,Male,65-74,80309,Yes,A few hours,$200-$499,$21-$49,$1 - $20,0,$50-$99,$21-$49,"$2,000-$4,999",$50-$99,$1 - $20,0,Two nights,"Friends, family or no expense",280
85,3-4 times,1-2 days,2,Female,18-24,80303,No,I live here,$1 - $20,$500-$999,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$200-$499,$500-$999,0,$50-$99,Local,Hotel or motel,280
194,5-6 times,5-6 days,1,Female,45-54,93067,Yes,Home is here,$21-$49,0,$21-$49,$21-$49,0,0,$20-$49,$500-$999,0,$50-$99,Day trip,"Friends, family or no expense",240
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,Live in area,"$1,000.00",$500-$999,$21-$49,$100-$199,$100-$199,NA,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",240
159,20,3-4 days,4,Female,55-64,93111,Yes,Didn't extend stay,$21-$49,0,0,$21-$49,0,0,0,$100-$199,$200-$499,$200-$499,Day trip,NA,240
33,1-2 times,0,3,Female,65-74,80309,Yes,-,0,0,0,0,0,"$3,000-$4,000",$100-$199,$200-$499,NA,$1 - $20,Multiple day trips,"Friends, family or no expense",NA
84,3-4 times,1-2 days,2,Female,18-24,80306,Yes,Live in area,$1 - $20,0,0,$1 - $20,0,0,$100-$199,$50-$99,NA,$500-$999,Resident,Boulder Resident,200
214,20,3-4 days,6,Female,25-34,80306,Yes,I live here,$50-$99,$100-$199,$1 - $20,$21-$49,NA,"$3,000-$4,000",$20-$49,$50-$99,NA,$50-$99,NA,Home,N/A
55,1,1-2 days,2,Female,25-34,80305,No,-,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$500-$999,NA,$500-$999,Local,"Friends, family or no expense",N/A
215,20,5-6 days,8,Female,25-34,80303,No,2 days,$50-$99,$50-$99,$1 - $20,$21-$49,$100-$199,0,"$2,000-$4,999",0,0,$20-$49,I live here,Home,280
166,20,1-2 days,2,Female,55-64,80306,NA,Didn't extend stay,$21-$49,$100-$199,$100-$199,$100-$199,$500-$999,$200-$499,0,$1 - $20,$200-$499,$500-$999,Local,Home,175
45,5-6 times,1-2 days,1,Female,35-44,80303,NA,0,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$1 - $20,NA,NA,"Friends, family or no expense",0
89,3-4 times,1-2 days,1,Female,25-34,80303,Yes,2 days,$1 - $20,$100-$199,"$1,000.00",$21-$49,$500-$999,0,$1 - $20,$200-$499,$1 - $20,$50-$99,Local,NA,200
113,1-2 times,1-2 days,NA,Female,45-54,80303,NA,2 days,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",NA,$200-$499,$500-$999,Live in Boulder,Hotel or motel,3
227,3-4 times,1-2 days,4,Male,25-34,80303,NA,Home is here,$50-$99,$50-$99,0,$1 - $20,0,$200-$499,$100-$199,$1 - $20,$100-$199,$50-$99,Day trip,Boulder Resident,125
112,56,20,4,Female,55-64,93111,No,Didn't extend stay,$100-$199,$200-$499,$200-$499,$100-$199,$200-$499,"$5,000.00",$1 - $20,$20-$49,NA,$50-$99,Local resident,Hotel or motel,175
133,35,3-4 days,5,Female,35-44,80303,No,NA,$200-$499,"$2,000-$3,000",$50-$99,$1 - $20,$500-$999,$500-$999,$20-$49,0,$1 - $20,$500-$999,Live in Boulder,NA,280
140,1,3-4 days,4,Female,55-64,93460,Yes,NA,$21-$49,$1 - $20,$21-$49,$50-$99,0,$21-$49,"$1,000-$1,999",$1 - $20,$200-$499,$1 - $20,Four nights,NA,280
245,1,1-2 days,2,Male,45-54,91320,Yes,A few hours,$200-$499,$1 - $20,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$50-$99,One night,Hotel or motel,125
266,20,3-4 days,3,Male,35-44,93013,Yes,Home is here,$200-$499,"$1,000-$1,499",$500-$999,NA,$100-$199,$500-$999,$50-$99,$100-$199,$20-$49,0,Multiple day trips,Home,0
163,20,1-2 days,3,Male,25-34,80303,NA,0,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$50-$99,$1 - $20,$1 - $20,0,NA,Boulder Resident,175
251,20,3-4 days,2,Male,55-64,93111,No,Home is here,$1 - $20,$1 - $20,$1 - $20,$21-$49,$200-$499,0,$100-$199,$100-$199,$100-$199,$50-$99,Multiple day trips,Boulder Resident,125
250,20,0,3,Female,55-64,92463,No,0,$1 - $20,$50-$99,$500-$999,NA,NA,"$5,000.00",$200-$499,$100-$199,$50-$99,NA,NA,"Friends, family or no expense",3
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
144,20,1-2 days,6,Female,55-64,80305,No,0,$21-$49,0,0,$1 - $20,0,0,"$1,000-$1,999",$20-$49,0,$500-$999,Local resident,NA,NA
47,5-6 times,0,4,Female,45-54,80309,No,Live in area,0,0,0,0,0,0,$1 - $20,$1 - $20,NA,$200-$499,NA,NA,3
135,1-2 times,1-2 days,4,Male,18-24,80306,Yes,0,$200-$499,0,$200-$499,$21-$49,0,0,0,$50-$99,$100-$199,$200-$499,Resident,Boulder Resident,240
139,1,1-2 days,1,Female,25-34,80306,No,2 days,$21-$49,0,0,$1 - $20,0,0,$50-$99,$20-$49,$20-$49,$500-$999,Three nights,Boulder Resident,280
261,20,0,0,Male,35-44,80305,No,Home is here,$200-$499,"$1,000-$1,499",NA,"$2,000-$3,000","$1,000-$1,499","$5,000.00",0,0,0,$20-$49,I live here,"Friends, family or no expense",500
267,20,1-2 days,2.5,Male,35-44,93111,No,Live in area,$1 - $20,$1 - $20,$100-$199,$1 - $20,$200-$499,$50-$99,$100-$199,$50-$99,$50-$99,$50-$99,Resident,Boulder Resident,NA
288,5-6 times,1-2 days,5,Male,45-54,90245,No,Didn't extend stay,$1 - $20,$100-$199,$50-$99,$21-$49,$1 - $20,NA,$50-$99,$50-$99,$100-$199,$200-$499,One night,Hotel or motel,280
180,3-4 times,3-4 days,4,Female,25-34,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$50-$99,0,$21-$49,$1 - $20,0,"$1,000-$1,999",0,NA,NA,Live in Boulder,Boulder Resident,N/A
250,20,0,3,Female,55-64,92463,No,0,$1 - $20,$50-$99,$500-$999,NA,NA,"$5,000.00",$200-$499,$100-$199,$50-$99,NA,NA,"Friends, family or no expense",3
61,20,0,2,Female,75-84,80309,No,Live in area,$1 - $20,0,0,0,$21-$49,$100-$199,NA,$20-$49,NA,$20-$49,Local,Hotel or motel,NA
1,0,0,8,Male,55-64,80309,NA,I live here,0,0,0,0,0,0,0,$1 - $20,$200-$499,$500-$999,One night,Home,NA
118,5-6 times,7-8 days,5,Female,35-44,80304,No,Home is here,$100-$199,$100-$199,$50-$99,$1 - $20,$100-$199,"$3,000-$4,000","$1,000-$1,999",$1 - $20,NA,0,Local,NA,NA
107,20,3-4 days,4,Female,55-64,80303,Yes,Live in area,$100-$199,$100-$199,$200-$499,$21-$49,$100-$199,$21-$49,$200-$499,$100-$199,$1 - $20,$1 - $20,Local resident,Home,500
60,20,1-2 days,2,Male,55-64,80309,No,Zero,$1 - $20,0,0,0,0,$50-$99,$1 - $20,$20-$49,$200-$499,$500-$999,One night,Home,0
68,20,0,1,Male,55-64,80306,Yes,-,$1 - $20,0,0,$1 - $20,0,0,NA,$1 - $20,$1 - $20,$1 - $20,Resident,Boulder Resident,125
133,35,3-4 days,5,Female,35-44,80303,No,NA,$200-$499,"$2,000-$3,000",$50-$99,$1 - $20,$500-$999,$500-$999,$20-$49,0,$1 - $20,$500-$999,Live in Boulder,NA,280
290,5-6 times,3-4 days,4,Female,55-64,80306,No,Didn't extend stay,$500-$999,$1 - $20,0,$500-$999,"$1,000-$1,499",$50-$99,$1 - $20,$20-$49,0,$20-$49,Live in Boulder,NA,240
61,20,0,2,Female,75-84,80309,No,Live in area,$1 - $20,0,0,0,$21-$49,$100-$199,NA,$20-$49,NA,$20-$49,Local,Hotel or motel,NA
239,0,3,5,Female,35-44,93111,No,Home is here,$50-$99,0,$1 - $20,$1 - $20,0,0,$200-$499,0,$100-$199,$1 - $20,Local,Home,3
190,5-6 times,3-4 days,3,Female,25-34,80303,No,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$1 - $20,$20-$49,$200-$499,Live in Boulder,Home,175
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
214,20,3-4 days,6,Female,25-34,80306,Yes,I live here,$50-$99,$100-$199,$1 - $20,$21-$49,NA,"$3,000-$4,000",$20-$49,$50-$99,NA,$50-$99,NA,Home,N/A
118,5-6 times,7-8 days,5,Female,35-44,80304,No,Home is here,$100-$199,$100-$199,$50-$99,$1 - $20,$100-$199,"$3,000-$4,000","$1,000-$1,999",$1 - $20,NA,0,Local,NA,NA
185,5-6 times,1-2 days,1,Female,25-34,93013,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,"$2,000-$4,999",$500-$999,$500-$999,$20-$49,One night,Hotel or motel,N/A
205,20,3-4 days,3,Female,35-44,80309,Yes,NA,$50-$99,0,$1 - $20,$1 - $20,0,$1 - $20,"$2,000-$4,999",$200-$499,0,$1 - $20,Live in Boulder,Home,3
45,5-6 times,1-2 days,1,Female,35-44,80303,NA,0,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$1 - $20,NA,NA,"Friends, family or no expense",0
79,1-2 times,1-2 days,0.5,Male,18-24,80306,No,Live in area,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,$1 - $20,$100-$199,$50-$99,Multiple day trips,NA,200
242,20,5-6 days,6,Male,45-54,80303,NA,Live in area,$500-$999,$500-$999,$50-$99,$100-$199,0,0,NA,$1 - $20,NA,0,One night,NA,280
39,3-4 times,1-2 days,2,Female,75-84,80306,Yes,1 day,0,0,0,0,0,0,0,$50-$99,$20-$49,$200-$499,NA,Home,280
108,20,1-2 days,2,Male,45-54,80303,Yes,Home is here,$100-$199,"$2,000-$3,000",$200-$499,$21-$49,NA,$100-$199,0,0,$1 - $20,0,NA,Hotel or motel,280
260,20,3-4 days,20,Male,35-44,93111,No,1 day,$200-$499,NA,NA,0,$200-$499,$21-$49,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
116,3-4 times,7-8 days,5,Female,45-54,93463,No,Zero,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,$200-$499,$100-$199,$200-$499,$50-$99,NA,Multiple day trips,NA,240
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$100-$199,$20-$49,Three nights,Boulder Resident,NA
165,20,1-2 days,2,Female,35-44,80304,NA,Zero,$21-$49,$200-$499,$1 - $20,0,NA,$50-$99,$50-$99,$200-$499,$200-$499,0,Day trip,"Friends, family or no expense",125
241,20,7-8 days,10,Male,35-44,80309,Yes,I live here,$500-$999,"$2,000-$3,000",$1 - $20,$100-$199,"$1,000-$1,499","$3,000-$4,000",$1 - $20,$200-$499,$1 - $20,$1 - $20,Three nights,NA,N/A
97,5-6 times,1-2 days,3,Female,55-64,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,$1 - $20,0,$1 - $20,$1 - $20,$50-$99,NA,$500-$999,I live here,NA,3
127,20,7-8 days,3,Female,35-44,80309,Yes,-,$200-$499,0,$21-$49,$21-$49,0,NA,"$2,000-$4,999",$500-$999,$100-$199,$20-$49,I live here,Home,500
140,1,3-4 days,4,Female,55-64,93460,Yes,NA,$21-$49,$1 - $20,$21-$49,$50-$99,0,$21-$49,"$1,000-$1,999",$1 - $20,$200-$499,$1 - $20,Four nights,NA,280
217,20,3-4 days,2,Female,45-54,93111,No,A few hours,$50-$99,0,$21-$49,$21-$49,$1 - $20,0,$20-$49,$500-$999,NA,0,Resident,NA,125
244,5-6 times,3-4 days,8,Male,45-54,80302,NA,I live here,$500-$999,0,$200-$499,"$2,000-$3,000",$500-$999,0,$1 - $20,$20-$49,$200-$499,NA,Day trip,"Friends, family or no expense",500
69,20,1-2 days,3,Female,55-64,80306,NA,Live in area,$1 - $20,0,0,$1 - $20,$1 - $20,"$5,000.00",$200-$499,$500-$999,$500-$999,$500-$999,Local resident,"Friends, family or no expense",0
116,3-4 times,7-8 days,5,Female,45-54,93463,No,Zero,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,$200-$499,$100-$199,$200-$499,$50-$99,NA,Multiple day trips,NA,240
175,1-2 times,7-8 days,3,Male,35-44,93437,NA,0,$21-$49,0,$50-$99,$21-$49,0,0,0,$1 - $20,$500-$999,NA,NA,"Friends, family or no expense",500
209,20,20,4,Female,45-54,80303,Yes,Live in area,$50-$99,$200-$499,$100-$199,$200-$499,0,0,"$1,000-$1,999",$500-$999,NA,$200-$499,Four nights,"Friends, family or no expense",3
2,1,7-8 days,4,Prefer not to say,35-44,80309,NA,-,0,0,0,0,0,0,$100-$199,$100-$199,$1 - $20,$50-$99,Three nights,Home,125
196,12,3-4 days,4,Male,55-64,93004,No,0,$21-$49,"$1,000-$1,499",$21-$49,$1 - $20,0,"$3,000-$4,000",$20-$49,$20-$49,$1 - $20,$20-$49,Day trip,NA,125
1,0,0,8,Male,55-64,80309,NA,I live here,0,0,0,0,0,0,0,$1 - $20,$200-$499,$500-$999,One night,Home,NA
116,3-4 times,7-8 days,5,Female,45-54,93463,No,Zero,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,$200-$499,$100-$199,$200-$499,$50-$99,NA,Multiple day trips,NA,240
121,20,7-8 days,6,Female,55-64,80305,No,I live here,$200-$499,$200-$499,$200-$499,$200-$499,$500-$999,$200-$499,0,$1 - $20,$20-$49,0,I live here,Home,N/A
